"order_id","customer_id","provider","payment_method","currency","amount","amount_bucket","country","device","transaction_type","result_status","reason_code","invoice_date","payment_date","chargeback_flag","retries","days_since_invoice","days_since_last_event","prev_success_cnt","prev_total_cnt","customer_prior_success_rate","label_recovered_30d"
"O010842","C00001","Amex","visa","EUR","6.08","low","IT","web","auth","failed","insufficient_funds","2024-01-13","2024-02-12",False,2,1,674,"0","0",NULL,1
"O003475","C00001","Adyen","visa","USD","11.76","low","GB","web","capture","failed","insufficient_funds","2024-03-16",NULL,False,0,0,612,"0","1","0",0
"O010293","C00001","Worldpay","visa","GBP","17.82","low","ES","web","auth","failed","limit_exceeded","2024-04-07",NULL,False,1,2,588,"0","2","0",0
"O004381","C00001","Safecharge/Nuvei","visa","GBP","6.19","low","DE","android","auth","failed","expired_card","2024-06-07",NULL,False,1,0,529,"0","3","0",0
"O002314","C00001","Amex","visa","EUR","24.42","low","FR","web","auth","success",NULL,"2024-06-15","2024-06-20",False,2,2,519,"0","4","0",1
"O003115","C00001","Safecharge/Nuvei","visa","GBP","41.69","mid","DE","web","auth","failed","stolen_card","2025-01-11",NULL,False,1,0,311,"1","5","0.2",0
"O005261","C00002","Worldpay","visa","GBP","111.85","high","GB","web","auth","failed","insufficient_funds","2024-06-19","2024-06-26",False,0,2,515,"0","0",NULL,1
"O011740","C00003","Adyen","visa","GBP","7.03","low","DE","web","auth","success",NULL,"2024-07-18","2024-07-18",False,0,0,488,"0","0",NULL,1
"O009564","C00004","Safecharge/Nuvei","visa","GBP","105.12","high","IE","web","auth","failed","stolen_card","2024-09-03","2024-10-02",False,4,2,439,"0","0",NULL,1
"O010316","C00004","Worldpay","mastercard","GBP","19.38","low","ES","web","auth","failed","incorrect_cvv","2025-05-19","2025-06-08",False,4,1,182,"0","1","0",1
"O008102","C00004","Worldpay","mastercard","EUR","12.97","low","ES","web","capture","failed","stolen_card","2025-07-29",NULL,False,2,0,112,"0","2","0",0
"O010591","C00004","Credorax","visa","GBP","112.09","high","FR","web","auth","failed","insufficient_funds","2025-08-01","2025-08-22",False,1,2,107,"0","3","0",1
"O006549","C00005","Credorax","mastercard","EUR","109.65","high","NL","web","auth","failed","stolen_card","2024-09-13","2024-10-05",False,1,2,429,"0","0",NULL,1
"O003191","C00005","Credorax","visa","EUR","28.08","mid","US","web","auth","failed","stolen_card","2025-07-05",NULL,False,0,2,134,"0","1","0",0
"O001126","C00006","Amex","paypal","GBP","14.66","low","DE","web","auth","success",NULL,"2024-01-31","2024-01-31",False,1,0,657,"0","0",NULL,1
"O002142","C00006","Chase","mastercard","EUR","11.86","low","GB","ios","auth","success",NULL,"2025-05-25","2025-05-26",False,0,2,175,"1","1","1",1
"O010172","C00007","Adyen","mastercard","EUR","17.80","low","FR","ios","auth","failed","do_not_honor","2025-06-24","2025-07-07",False,0,2,146,"0","0",NULL,1
"O003602","C00007","Worldpay","visa","EUR","26.30","mid","GB","android","capture","failed","incorrect_cvv","2025-09-12","2025-09-20",False,1,1,66,"0","1","0",1
"O000680","C00008","Adyen","visa","USD","49.79","mid","GB","web","auth","failed","insufficient_funds","2024-01-31","2024-02-01",False,1,0,657,"0","0",NULL,1
"O001063","C00008","Chase","paypal","EUR","15.98","low","FR","web","auth","success",NULL,"2024-02-25","2024-03-01",False,0,0,632,"0","1","0",1
"O008848","C00008","Adyen","mastercard","GBP","48.68","mid","GB","web","auth","failed","expired_card","2024-05-03",NULL,False,0,1,563,"1","2","0.5",0
"O003232","C00009","Adyen","apple_pay","EUR","49.22","mid","IT","web","capture","failed","processor_declined","2024-04-26","2024-05-26",False,1,2,569,"0","0",NULL,1
"O006210","C00009","Credorax","mastercard","GBP","57.14","mid","IT","ios","refund","failed","incorrect_cvv","2024-09-18","2024-10-15",False,2,1,426,"0","1","0",1
"O003585","C00009","Amex","visa","GBP","104.46","high","CY","ios","auth","failed","processor_declined","2025-07-02","2025-07-15",False,3,1,138,"0","2","0",1
"O008124","C00010","Safecharge/Nuvei","paypal","GBP","18.30","low","GB","android","auth","success",NULL,"2024-04-30","2024-05-06",False,1,0,567,"0","0",NULL,1
"O006023","C00010","Adyen","mastercard","GBP","12.74","low","GB","android","auth","failed","limit_exceeded","2024-06-29","2024-07-06",False,1,1,506,"1","1","1",1
"O010819","C00010","Chase","visa","USD","29.28","mid","DE","web","auth","failed","incorrect_cvv","2024-11-28",NULL,False,1,1,354,"1","2","0.5",0
"O002598","C00010","Chase","amex","GBP","24.55","low","CY","ios","auth","failed","incorrect_cvv","2025-03-18","2025-03-26",False,0,2,243,"1","3","0.3333333333333333",1
"O004286","C00010","Adyen","visa","GBP","13.27","low","GB","android","capture","failed","stolen_card","2025-04-07",NULL,False,1,2,223,"1","4","0.25",0
"O001902","C00010","Chase","visa","GBP","27.70","mid","GB","ios","auth","success",NULL,"2025-07-20","2025-07-22",False,1,0,121,"1","5","0.2",1
"O007159","C00011","Credorax","mastercard","USD","14.84","low","ES","web","auth","success",NULL,"2024-03-08","2024-03-13",False,1,1,619,"0","0",NULL,1
"O010265","C00011","Worldpay","visa","USD","43.73","mid","NL","web","auth","failed","stolen_card","2024-10-31","2024-11-01",False,1,0,383,"1","1","1",1
"O011441","C00011","Amex","mastercard","USD","50.32","mid","GB","ios","auth","failed","processor_declined","2025-01-18",NULL,False,1,2,302,"1","2","0.5",0
"O003065","C00011","Adyen","apple_pay","EUR","28.00","mid","US","web","auth","failed","expired_card","2025-03-15","2025-03-17",False,1,0,248,"1","3","0.3333333333333333",1
"O000219","C00011","Credorax","amex","GBP","7.84","low","IT","web","auth","success",NULL,"2025-03-21","2025-03-21",False,1,0,242,"1","4","0.25",1
"O002208","C00011","Adyen","mastercard","GBP","3.65","low","GB","web","auth","success",NULL,"2025-03-26","2025-03-29",False,1,0,237,"2","5","0.4",1
"O010716","C00011","Chase","visa","EUR","23.65","low","GB","web","auth","success",NULL,"2025-04-04","2025-04-08",False,0,1,227,"3","6","0.5",1
"O004079","C00011","Chase","mastercard","GBP","50.01","mid","CY","web","auth","success",NULL,"2025-04-16","2025-04-17",False,1,2,214,"4","7","0.5714285714285714",1
"O000584","C00012","Credorax","apple_pay","GBP","64.87","mid","GB","web","auth","failed","do_not_honor","2024-03-17","2024-04-08",False,0,1,610,"0","0",NULL,1
"O001554","C00012","Adyen","visa","GBP","49.16","mid","CY","ios","auth","failed","limit_exceeded","2025-04-01",NULL,False,0,2,229,"0","1","0",0
"O010634","C00012","Adyen","paypal","GBP","55.84","mid","GB","android","auth","success",NULL,"2025-06-04","2025-06-04",False,0,1,166,"0","2","0",1
"O011269","C00013","Adyen","visa","GBP","35.27","mid","GB","android","refund","success",NULL,"2024-08-25","2024-08-28",False,1,0,450,"0","0",NULL,1
"O003784","C00014","Amex","visa","EUR","15.85","low","GB","web","auth","failed","expired_card","2024-10-28","2024-10-29",False,1,1,385,"0","0",NULL,1
"O002372","C00014","Worldpay","visa","EUR","22.45","low","US","web","refund","success",NULL,"2025-06-07","2025-06-09",False,0,1,163,"0","1","0",1
"O004853","C00014","Adyen","visa","EUR","27.56","mid","DE","ios","auth","success",NULL,"2025-08-29","2025-09-04",False,1,1,80,"1","2","0.5",1
"O003835","C00015","Worldpay","visa","GBP","13.26","low","GB","ios","auth","failed","expired_card","2024-04-07","2024-05-04",False,2,2,588,"0","0",NULL,1
"O008418","C00016","Amex","mastercard","GBP","13.65","low","DE","android","auth","failed","incorrect_cvv","2024-02-20",NULL,False,1,0,637,"0","0",NULL,0
"O006721","C00016","Worldpay","visa","GBP","16.79","low","FR","web","auth","success",NULL,"2024-08-11","2024-08-14",False,0,1,464,"0","1","0",1
"O007041","C00016","Worldpay","mastercard","GBP","39.97","mid","IT","ios","capture","failed","stolen_card","2025-09-11","2025-09-17",False,0,1,67,"1","2","0.5",1
"O009747","C00017","Adyen","visa","GBP","51.07","mid","IE","ios","auth","failed","do_not_honor","2024-04-14",NULL,False,0,2,582,"0","0",NULL,0
"O006464","C00017","Safecharge/Nuvei","mastercard","GBP","10.90","low","CY","web","capture","success",NULL,"2025-01-21","2025-01-23",False,1,1,300,"0","1","0",1
"O001565","C00018","Worldpay","mastercard","EUR","16.66","low","GB","web","auth","success",NULL,"2024-11-17","2024-11-21",False,1,2,364,"0","0",NULL,1
"O005136","C00018","Adyen","mastercard","GBP","53.44","mid","CY","ios","auth","success",NULL,"2025-05-04","2025-05-10",False,0,2,197,"1","1","1",1
"O000158","C00019","Adyen","apple_pay","GBP","17.98","low","GB","web","auth","failed","limit_exceeded","2025-07-02","2025-07-06",False,4,0,140,"0","0",NULL,1
"O002345","C00020","Adyen","visa","EUR","29.82","mid","GB","web","auth","failed","incorrect_cvv","2024-01-24","2024-02-02",False,2,2,662,"0","0",NULL,1
"O008318","C00020","Safecharge/Nuvei","mastercard","EUR","7.55","low","IE","ios","auth","success",NULL,"2024-05-25","2024-05-28",False,1,2,540,"0","1","0",1
"O010781","C00020","Worldpay","visa","USD","39.28","mid","NL","ios","auth","failed","processor_declined","2024-09-27","2024-10-10",False,3,1,416,"1","2","0.5",1
"O011776","C00020","Worldpay","visa","EUR","5.04","low","GB","web","capture","success",NULL,"2025-06-04","2025-06-06",False,0,2,165,"1","3","0.3333333333333333",1
"O002543","C00020","Chase","amex","USD","14.53","low","GB","android","auth","success",NULL,"2025-08-03","2025-08-05",False,0,0,107,"2","4","0.5",1
"O002335","C00021","Worldpay","amex","USD","27.74","mid","FR","web","auth","failed","stolen_card","2024-02-10","2024-02-16",False,3,2,645,"0","0",NULL,1
"O005102","C00021","Credorax","mastercard","USD","13.99","low","FR","web","refund","failed","expired_card","2025-05-05","2025-05-13",False,0,0,197,"0","1","0",1
"O009530","C00021","Safecharge/Nuvei","visa","GBP","27.74","mid","GB","android","auth","success",NULL,"2025-05-29","2025-06-01",False,0,2,171,"0","2","0",1
"O000379","C00021","Amex","apple_pay","EUR","38.06","mid","FR","android","auth","success",NULL,"2025-06-04","2025-06-05",False,1,1,166,"1","3","0.3333333333333333",1
"O007016","C00021","Worldpay","visa","EUR","122.64","high","GB","ios","auth","success",NULL,"2025-08-07","2025-08-08",False,1,1,102,"2","4","0.5",1
"O005599","C00021","Chase","visa","GBP","15.03","low","GB","ios","auth","failed","expired_card","2025-09-09","2025-10-01",False,1,0,70,"3","5","0.6",1
"O007647","C00022","Adyen","mastercard","GBP","25.94","mid","IT","web","auth","success",NULL,"2024-07-01","2024-07-07",False,0,1,504,"0","0",NULL,1
"O005944","C00022","Amex","apple_pay","USD","9.04","low","GB","ios","auth","failed","do_not_honor","2025-03-31","2025-04-02",False,1,1,232,"1","1","1",1
"O010217","C00023","Adyen","mastercard","GBP","11.87","low","US","web","auth","failed","do_not_honor","2024-02-04",NULL,False,0,0,653,"0","0",NULL,0
